chat_mode,entropy_mean,model,n,partial_seq_len,pearson,quantization,query_mode,query_start,run,sink_mean,sink_tokens,spearman,task
auto,2.920599103261189,EleutherAI/pythia-2.8b-deduped,415,0.03743197154700861,0.04997359222269843,none,last,0,truthfulqa_mc__EleutherAI__pythia-2.8b-deduped__K1__qlast.jsonl.gz,0.23057424877531804,1,0.11820240829538892,truthfulqa_mc
auto,2.920599103261189,EleutherAI/pythia-2.8b-deduped,415,-0.02604789005044561,-0.003054959370662177,none,range,32,truthfulqa_mc__EleutherAI__pythia-2.8b-deduped__K1__qrange_start32.jsonl.gz,0.1943013645964695,1,0.031707599629286376,truthfulqa_mc
auto,2.920599103261189,EleutherAI/pythia-2.8b-deduped,415,0.056973898352342046,0.06993347322765131,none,last,0,truthfulqa_mc__EleutherAI__pythia-2.8b-deduped__K4__qlast.jsonl.gz,0.2542036741701269,4,0.13042638782554972,truthfulqa_mc
auto,2.920599103261189,EleutherAI/pythia-2.8b-deduped,415,-0.015546199656009443,0.00953935955238162,none,range,32,truthfulqa_mc__EleutherAI__pythia-2.8b-deduped__K4__qrange_start32.jsonl.gz,0.2053960792747175,4,0.038157983102980485,truthfulqa_mc
auto,1.9064560113182987,Qwen/Qwen2.5-0.5B-Instruct,415,0.10288642599102735,0.06574002608683678,none,last,0,truthfulqa_mc__Qwen__Qwen2.5-0.5B-Instruct__K1__qlast.jsonl.gz,0.35242919110689297,1,0.05225383137902782,truthfulqa_mc
auto,1.9064560113182987,Qwen/Qwen2.5-0.5B-Instruct,415,-0.18494074281594094,-0.10400878258535243,none,range,32,truthfulqa_mc__Qwen__Qwen2.5-0.5B-Instruct__K1__qrange_start32.jsonl.gz,0.3612815401248737,1,-0.11555335052584922,truthfulqa_mc
auto,1.9064560113182987,Qwen/Qwen2.5-0.5B-Instruct,415,0.10114916148957075,0.07041067063469857,none,last,0,truthfulqa_mc__Qwen__Qwen2.5-0.5B-Instruct__K4__qlast.jsonl.gz,0.3640887618244412,4,0.05763136156666801,truthfulqa_mc
auto,1.9064560113182987,Qwen/Qwen2.5-0.5B-Instruct,415,-0.1721833020099456,-0.09056657454264214,none,range,32,truthfulqa_mc__Qwen__Qwen2.5-0.5B-Instruct__K4__qrange_start32.jsonl.gz,0.3802679016562246,4,-0.1020599118883561,truthfulqa_mc
auto,0.33367548320369783,Qwen/Qwen2.5-7B-Instruct,282,-0.041788998085762384,0.026337376705150337,none,last,0,truthfulqa_mc__Qwen__Qwen2.5-7B-Instruct__K1__qlast.jsonl.gz,0.00035599554446899936,1,-0.027386429886068025,truthfulqa_mc
auto,0.33367548320369783,Qwen/Qwen2.5-7B-Instruct,282,0.21071567501890062,0.22254745526072559,none,last,0,truthfulqa_mc__Qwen__Qwen2.5-7B-Instruct__K4__qlast.jsonl.gz,0.3727572366111611,4,0.13044024999056877,truthfulqa_mc
